json.hpp:1148:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1149:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1188:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1204:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1205:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1206:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1207:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1208:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1209:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1210:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1211:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1212:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1213:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1214:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1215:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1216:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1217:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1218:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1220:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1221:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1221:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1222:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1223:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1223:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1224:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1225:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1225:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1226:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1227:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1227:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1228:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1229:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1230:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1231:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1232:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1233:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1234:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1235:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1236:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1237:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1238:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1239:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1248:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1249:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1250:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1251:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1252:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1253:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1254:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1255:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1256:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1257:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1258:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1260:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1261:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1262:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1263:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1264:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1265:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1266:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1267:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1268:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1269:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1270:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1279:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1280:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1281:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1282:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1283:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1284:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1285:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1286:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1287:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1288:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1289:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1290:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1291:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1292:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1293:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1295:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1296:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1297:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1298:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1299:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1300:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1301:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1302:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1311:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1312:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1313:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1314:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1315:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1324:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1325:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1326:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1327:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1328:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1329:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1330:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1342:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1343:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1344:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1345:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1347:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1348:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1349:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1350:  Missing space after ,  [whitespace/comma] [3]
