DisplayGUI.h:406:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:407:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:408:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:409:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:409:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
DisplayGUI.h:410:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:411:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:412:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:412:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
DisplayGUI.h:413:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:414:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:414:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
DisplayGUI.h:414:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DisplayGUI.h:415:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:416:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:418:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:419:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:421:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:421:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DisplayGUI.h:422:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:422:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
DisplayGUI.h:423:  Tab found; better to use spaces  [whitespace/tab] [1]
